S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",455505,472794,491427,513597,477074
1.1,Crops,255815,281052,295704,312069,275949
1.2,Livestock,29657,23953,31123,38040,39258
1.3,Forestry and logging,165510,163051,160038,157753,156118
1.4,Fishing and aquaculture,4523,4738,4562,5735,5749
2,Mining and quarrying,23022,32615,37071,31950,58785
Total,Primary,478527,505409,528498,545547,535859
3,Manufacturing,12900,14037,18285,23228,34299
4,"Electricity, gas, water supply & other utility services",69131,70426,77083,105408,113445
5,Construction,104529,100177,110945,126742,131897
Total,Secondary,186560,184640,206313,255378,279641
6,"Trade, repair, hotels and restaurants",59892,46755,60536,48891,48500
6.1,Trade & repair services,56921,44029,57861,46059,45739
6.2,Hotels & restaurants,2971,2726,2675,2832,2761
7,"Transport, storage, communication & services related to broadcasting",23420,25073,29158,30253,34331
7.1,Railways,30,34,43,51,54
7.2,Road transport,12382,12375,14081,13393,16339
7.3,Water transport,0,0,0,0,0
7.4,Air transport,0,0,0,0,0
7.5,Services incidental to transport,78,82,86,93,97
7.6,Storage,0,0,0,0,0
7.7,Communication & services related to broadcasting,10930,12582,14948,16716,17841
8,Financial services,20884,21639,22758,24101,25668
9,"Real estate, ownership of dwelling & professional services",38261,39147,40330,41495,38653
10,Public administration,135418,139106,156987,197462,200552
11,Other services,142509,155066,161856,178131,196704
Total,Tertiary,420384,426786,471625,520333,544408
12,TOTAL GSVA at basic prices,1085471,1116835,1206436,1321258,1359908
13,Taxes on Products,41341,40644,54249,58907,63964
14,Subsidies on products,20542,27562,25844,26085,27540
15,Gross State Domestic Product,1106270,1129917,1234841,1354080,1396332
16,Population ('00),14000,14280,14570,14870,15160
17,Per Capita GSDP (Rs.),79019,79126,84752,91061,92106
