S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",5461488,5943360,6178978,5590964,5239809,5871918
1.1,Crops,3236819,3554097,3723256,2955512,2488459,2962005
1.2,Livestock,1884801,2035097,2082712,2251636,2393602,2546059
1.3,Forestry and logging,191725,190565,185807,180754,176973,174510
1.4,Fishing and aquaculture,148143,163601,187203,203062,180775,189344
2,Mining and quarrying,1106109,1154111,1127788,1390770,1502232,1736419
Total,Primary,6567597,7097471,7306766,6981734,6742041,7608337
3,Manufacturing,6215158,5298254,5289860,5725215,6080178,6511871
4,"Electricity, gas, water supply & other utility services",783505,533205,742870,603535,533212,520470
5,Construction,2278975,2314347,2136705,2483549,2652430,2811576
Total,Secondary,9277638,8145806,8169435,8812299,9265820,9843917
6,"Trade, repair, hotels and restaurants",3747813,4026649,4357584,5276515,5858422,6430566
6.1,Trade & repair services,3048685,3296692,3788142,4651943,5196950,5727351
6.2,Hotels & restaurants,699128,729957,569442,624572,661472,703215
7,"Transport, storage, communication & services related to broadcasting",2531735,2791360,2899020,3173144,3565546,3963242
7.1,Railways,161363,167525,179226,172947,170454,172943
7.2,Road transport,1461278,1598221,1687122,1819232,2040628,2285515
7.3,Water transport,0,0,0,0,0,0
7.4,Air transport,23258,40372,30551,106034,138645,184927
7.5,Services incidental to transport,371763,453180,396418,399667,449001,505773
7.6,Storage,17531,13888,14568,16147,19040,21439
7.7,Communication & services related to broadcasting,496542,518174,591135,659117,747778,792645
8,Financial services,2126507,2332137,2567920,2890978,3086207,3388038
9,"Real estate, ownership of dwelling & professional services",5551356,6260616,6988082,7675111,8606130,9223278
10,Public administration,1131292,1152272,1212019,1379260,1607965,1650401
11,Other services,2670927,2698950,2921308,3207945,3579288,3801654
Total,Tertiary,17759630,19261984,20945933,23602953,26303558,28457179
12,TOTAL GSVA at basic prices,33604865,34505261,36422134,39396986,42311419,45909433
13,Taxes on Products,3281100,3420900,3518300,3699600,5057400,6053000
14,Subsidies on products,942700,997200,952200,699400,929900,833800
15,Gross State Domestic Product,35943265,36928961,38988234,42397186,46438919,51128633
16,Population ('00),356820,360400,364010,367660,371340,375050
17,Per Capita GSDP (Rs.),100732,102467,107108,115316,125058,136325
